Star category
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Brown Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
Red Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
White Dwarf
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Main Sequence
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Supergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
Hypergiant
